0.914,1.118,1.83,2.125,2.656,3.712,5.839
0.951,1.131,1.745,2.045,2.751,3.766,5.869
0.951,1.131,1.863,2.128,2.69,3.801,5.912
7.863,7.863,7.863,7.863,7.863,7.863,7.863
0.788,0.789,0.79,0.791,0.792,0.793,0.793
1.207,1.687,1.689,1.71,1.906,2.149,2.151
0.789,0.79,0.791,0.793,0.793,0.793,0.793
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.183,1.689,1.713,1.715,1.735,2.201,2.28
7.808,7.808,7.808,7.808,7.808,7.808,7.808
4.499,4.499,4.499,4.499,4.499,4.499,4.499
4.207,4.207,4.207,4.207,4.207,4.207,4.207
3.651,3.651,3.651,3.651,3.651,3.651,3.651
0.971,1.305,2.43,3.318,3.648,5.83,15.967
1.2,3.19,3.226,3.227,3.958,6.097,16.105
4.423,4.423,4.423,4.423,4.423,4.423,4.423
4.07,4.07,4.07,4.07,4.07,4.07,4.07
1.182,1.689,1.697,1.7,1.889,1.949,2.285
0.0,0.0,0.0,0.0,0.0,0.0,0.0
