1.397,1.397,1.585,1.998,1.808,1.907,2.048,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
1.397,1.397,2.038,1.927,2.047,2.287,2.767,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
1.397,1.397,2.038,1.927,2.047,2.287,2.767,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,100.000,100.000,100.000,100.000
1.397,1.407,1.412,1.412,1.412,1.412,1.412,1.409,1.409,1.409,1.409,1.409,1.409,1.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.672,0.672,0.672,0.672,0.672,0.672,0.672,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.409,1.412,1.409,1.412,1.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
1.397,1.397,2.034,3.792,3.792,3.792,3.792,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.406,1.406,1.406,1.406,1.406,1.400,1.406,1.411,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.406,1.406,1.406,1.406,1.406,1.400,1.406,1.411,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.406,1.406,1.406,1.406,1.406,1.400,1.406,100.000,100.000,100.000,100.000,100.000
1.397,1.397,2.038,1.707,1.775,1.895,2.135,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.406,1.406,1.406,1.406,1.406,1.406,1.406,1.411,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.397,1.397,1.397,1.397,1.397,1.397,1.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,100.000,100.000,100.000,100.000,100.000
1.410,1.410,1.410,1.412,1.412,1.412,1.412,1.397,1.397,1.409,1.409,1.409,1.409,1.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.409,1.409,1.409,1.409,1.409,1.409,1.409,1.411,1.411,1.411,1.411,1.411,1.411,1.411,1.412,1.400,1.412,100.000,100.000
1.397,1.397,1.397,1.397,1.397,1.397,1.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.409,100.000,100.000,100.000,100.000
1.397,1.397,1.397,1.397,1.397,1.397,1.411,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
1.397,1.397,1.397,1.397,1.397,1.397,1.411,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
1.397,1.397,1.397,1.397,1.397,1.397,1.411,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
0.672,0.672,1.998,2.184,3.132,3.466,5.322,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
0.672,1.397,1.592,2.194,3.023,3.312,4.531,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
0.672,1.397,1.748,2.184,3.249,3.249,4.338,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.409,100.000,100.000,100.000,100.000
1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.397,1.412,1.412,1.412,1.412,1.412,1.412,1.412,2.061,100.000,100.000,100.000,100.000
1.410,1.412,1.412,1.412,1.412,1.412,1.412,1.397,1.397,1.397,1.397,1.397,1.397,1.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.412,1.397,1.412,100.000,100.000
